Flat profile:

Each sample counts as 0.01 seconds.
 no time accumulated

  %   cumulative   self              self     total           
 time   seconds   seconds    calls  Ts/call  Ts/call  name    
  0.00      0.00     0.00       19     0.00     0.00  std::_Vector_base<std::shared_ptr<Group>, std::allocator<std::shared_ptr<Group> > >::_M_create_storage(unsigned long)
  0.00      0.00     0.00       19     0.00     0.00  std::_Vector_base<std::shared_ptr<Group>, std::allocator<std::shared_ptr<Group> > >::_Vector_base(unsigned long, std::allocator<std::shared_ptr<Group> > const&)
  0.00      0.00     0.00       19     0.00     0.00  std::allocator_traits<std::allocator<std::shared_ptr<Group> > >::select_on_container_copy_construction(std::allocator<std::shared_ptr<Group> > const&)
  0.00      0.00     0.00       19     0.00     0.00  std::shared_ptr<Group>* std::__uninitialized_copy<false>::__uninit_copy<__gnu_cxx::__normal_iterator<std::shared_ptr<Group> const*, std::vector<std::shared_ptr<Group>, std::allocator<std::shared_ptr<Group> > > >, std::shared_ptr<Group>*>(__gnu_cxx::__normal_iterator<std::shared_ptr<Group> const*, std::vector<std::shared_ptr<Group>, std::allocator<std::shared_ptr<Group> > > >, __gnu_cxx::__normal_iterator<std::shared_ptr<Group> const*, std::vector<std::shared_ptr<Group>, std::allocator<std::shared_ptr<Group> > > >, std::shared_ptr<Group>*)
  0.00      0.00     0.00       19     0.00     0.00  std::vector<std::shared_ptr<Group>, std::allocator<std::shared_ptr<Group> > >::vector(std::vector<std::shared_ptr<Group>, std::allocator<std::shared_ptr<Group> > > const&)
  0.00      0.00     0.00       19     0.00     0.00  std::shared_ptr<Group>* std::uninitialized_copy<__gnu_cxx::__normal_iterator<std::shared_ptr<Group> const*, std::vector<std::shared_ptr<Group>, std::allocator<std::shared_ptr<Group> > > >, std::shared_ptr<Group>*>(__gnu_cxx::__normal_iterator<std::shared_ptr<Group> const*, std::vector<std::shared_ptr<Group>, std::allocator<std::shared_ptr<Group> > > >, __gnu_cxx::__normal_iterator<std::shared_ptr<Group> const*, std::vector<std::shared_ptr<Group>, std::allocator<std::shared_ptr<Group> > > >, std::shared_ptr<Group>*)
  0.00      0.00     0.00       19     0.00     0.00  std::shared_ptr<Group>* std::__uninitialized_copy_a<__gnu_cxx::__normal_iterator<std::shared_ptr<Group> const*, std::vector<std::shared_ptr<Group>, std::allocator<std::shared_ptr<Group> > > >, std::shared_ptr<Group>*, std::shared_ptr<Group> >(__gnu_cxx::__normal_iterator<std::shared_ptr<Group> const*, std::vector<std::shared_ptr<Group>, std::allocator<std::shared_ptr<Group> > > >, __gnu_cxx::__normal_iterator<std::shared_ptr<Group> const*, std::vector<std::shared_ptr<Group>, std::allocator<std::shared_ptr<Group> > > >, std::shared_ptr<Group>*, std::allocator<std::shared_ptr<Group> >&)
  0.00      0.00     0.00       18     0.00     0.00  __gnu_cxx::new_allocator<User>::new_allocator(__gnu_cxx::new_allocator<User> const&)
  0.00      0.00     0.00       18     0.00     0.00  __gnu_cxx::__aligned_buffer<User>::_M_ptr()
  0.00      0.00     0.00       18     0.00     0.00  __gnu_cxx::__aligned_buffer<User>::_M_addr()
  0.00      0.00     0.00       18     0.00     0.00  __gnu_cxx::__aligned_membuf<std::pair<std::shared_ptr<User> const, std::shared_ptr<Account> > >::_M_ptr()
  0.00      0.00     0.00       18     0.00     0.00  __gnu_cxx::__aligned_membuf<std::pair<std::shared_ptr<User> const, std::shared_ptr<Account> > >::_M_addr()
  0.00      0.00     0.00       18     0.00     0.00  std::move_iterator<std::shared_ptr<User>*>::base() const
  0.00      0.00     0.00       18     0.00     0.00  std::allocator<User>::allocator(std::allocator<User> const&)
  0.00      0.00     0.00       18     0.00     0.00  std::_Vector_base<std::shared_ptr<User>, std::allocator<std::shared_ptr<User> > >::_M_get_Tp_allocator()
  0.00      0.00     0.00       18     0.00     0.00  std::_Rb_tree_node<std::pair<std::shared_ptr<User> const, std::shared_ptr<Account> > >::_M_valptr()
  0.00      0.00     0.00       18     0.00     0.00  std::__shared_count<(__gnu_cxx::_Lock_policy)2>::_M_swap(std::__shared_count<(__gnu_cxx::_Lock_policy)2>&)
  0.00      0.00     0.00       18     0.00     0.00  std::__shared_count<(__gnu_cxx::_Lock_policy)2>::__shared_count()
  0.00      0.00     0.00       18     0.00     0.00  std::_Sp_counted_ptr_inplace<User, std::allocator<User>, (__gnu_cxx::_Lock_policy)2>::_M_ptr()
  0.00      0.00     0.00       17     0.00     0.00  std::__shared_ptr<User, (__gnu_cxx::_Lock_policy)2>::get() const
  0.00      0.00     0.00       16     0.00     0.00  __gnu_cxx::__normal_iterator<User*, std::vector<User, std::allocator<User> > >::base() const
  0.00      0.00     0.00       16     0.00     0.00  __gnu_cxx::__normal_iterator<std::shared_ptr<Group>*, std::vector<std::shared_ptr<Group>, std::allocator<std::shared_ptr<Group> > > >::base() const
  0.00      0.00     0.00       16     0.00     0.00  std::vector<User, std::allocator<User> >::size() const
  0.00      0.00     0.00       16     0.00     0.00  std::vector<std::shared_ptr<User>, std::allocator<std::shared_ptr<User> > >::size() const
  0.00      0.00     0.00       16     0.00     0.00  std::_Rb_tree_iterator<std::pair<std::shared_ptr<User> const, std::shared_ptr<Account> > >::_Rb_tree_iterator(std::_Rb_tree_node_base*)
  0.00      0.00     0.00       16     0.00     0.00  User const* std::__make_move_if_noexcept_iterator<User, User const*>(User*)
  0.00      0.00     0.00       15     0.00     0.00  __gnu_cxx::__atomic_add_single(int*, int)
  0.00      0.00     0.00       15     0.00     0.00  __gnu_cxx::__atomic_add_dispatch(int*, int)
  0.00      0.00     0.00       15     0.00     0.00  __gnu_cxx::new_allocator<std::shared_ptr<Group> >::max_size() const
  0.00      0.00     0.00       15     0.00     0.00  __gnu_cxx::__aligned_membuf<std::pair<std::shared_ptr<User> const, std::shared_ptr<Account> > >::_M_ptr() const
  0.00      0.00     0.00       15     0.00     0.00  __gnu_cxx::__aligned_membuf<std::pair<std::shared_ptr<User> const, std::shared_ptr<Account> > >::_M_addr() const
  0.00      0.00     0.00       15     0.00     0.00  std::_Rb_tree_node<std::pair<std::shared_ptr<User> const, std::shared_ptr<Account> > >::_M_valptr() const
  0.00      0.00     0.00       15     0.00     0.00  std::__shared_count<(__gnu_cxx::_Lock_policy)2>::__shared_count(std::__shared_count<(__gnu_cxx::_Lock_policy)2> const&)
  0.00      0.00     0.00       15     0.00     0.00  std::_Sp_counted_base<(__gnu_cxx::_Lock_policy)2>::_M_add_ref_copy()
  0.00      0.00     0.00       15     0.00     0.00  std::shared_ptr<User>* std::__addressof<std::shared_ptr<User> >(std::shared_ptr<User>&)
  0.00      0.00     0.00       15     0.00     0.00  std::shared_ptr<Group>* std::__addressof<std::shared_ptr<Group> >(std::shared_ptr<Group>&)
  0.00      0.00     0.00       15     0.00     0.00  std::remove_reference<std::shared_ptr<User>&>::type&& std::move<std::shared_ptr<User>&>(std::shared_ptr<User>&)
  0.00      0.00     0.00       15     0.00     0.00  std::piecewise_construct_t const& std::forward<std::piecewise_construct_t const&>(std::remove_reference<std::piecewise_construct_t const&>::type&)
